######################## ######################## ######################## ######################## ######################## ######################## ########################
# Radius (arcsec)	 Intensity B7 (Jy/sr)     Intensity B6 (Jy/sr)     Intensity B3 (Jy/sr)     Error Int B7 (Jy/sr)     Error Int B6 (Jy/sr)     Error Int B3 (Jy/sr)
######################## ######################## ######################## ######################## ######################## ######################## ########################
7.359293306685411873e-02 1.887452652543793201e+09 1.826454037619161010e+08 5.371030278868157417e+07 3.285155358815693855e+07 1.451368305524373055e+07 9.694007054616656154e+06
7.798615569975397843e-02 1.846398488139054775e+09 1.681386865245940089e+08 4.684802949893119931e+07 3.178394363003540039e+07 1.414911998226648569e+07 8.831384442623866722e+06
8.237939827079786281e-02 1.810421963879982710e+09 1.554785282590742111e+08 4.199591443573193252e+07 3.119504020858144760e+07 1.389807572607585788e+07 8.145685800008257851e+06
8.677265775360708255e-02 1.780609451353594303e+09 1.454936232434163988e+08 3.870331982221086323e+07 3.091886127530646324e+07 1.370255785892578959e+07 7.623605984769600444e+06
9.116593170470983776e-02 1.754598038606608152e+09 1.378969689244063795e+08 3.665318047460812330e+07 3.079020481304001808e+07 1.351768120412987471e+07 7.248750855059904978e+06
9.555921812966575168e-02 1.734220906700158596e+09 1.320644727661520690e+08 3.562651953236725926e+07 3.071426243560075760e+07 1.331542150419373810e+07 7.004850053167426027e+06
9.995251538446194017e-02 1.720650123918222189e+09 1.280021402110858113e+08 3.547516311746647209e+07 3.061353646420073509e+07 1.309554171387515962e+07 6.877116155308966525e+06
1.043458221017963261e-01 1.713524102998244762e+09 1.257390454170988649e+08 3.610061981016638875e+07 3.043466047725749016e+07 1.287315911452339590e+07 6.852452302365374751e+06
1.087391371352164071e-01 1.713786733897734880e+09 1.250324248599589616e+08 3.743721424511673301e+07 3.013973426743125916e+07 1.265555548293103278e+07 6.918959483481468633e+06
1.131324595162640223e-01 1.721861737759928465e+09 1.258304131115561575e+08 3.943795656271342933e+07 2.975077191610789299e+07 1.244045851516063511e+07 7.065022186961179599e+06
1.175257884212256299e-01 1.737648118770476580e+09 1.282394762241268605e+08 4.206215676926435530e+07 2.928797509043359756e+07 1.223550941280142963e+07 7.278169813460445963e+06
1.219191231450665880e-01 1.762986642734453201e+09 1.323065065771005154e+08 4.526439537857497483e+07 2.873547422018146515e+07 1.205545257517632842e+07 7.543911281231929548e+06
1.263124630808024618e-01 1.798651407971829414e+09 1.379912678146726787e+08 4.898508396603732556e+07 2.813449455151534081e+07 1.190816652428105474e+07 7.844795462681102566e+06
